admit, G,
consider, G,
avoid, G,
delay, G,
risk, G,
hate, G,
detest, G,
fancy, G,
finish, G,
imagine, G,
involve, G,
mention, G,
mind, G,
miss, G,
postpone, G,
practice, G,
quit, G,
suggest, G,
waste, G,
appreciate, G,
discuss, G,
recall, G,
tolerate, G,
resent, G,
keep on, G,
resist, G,
prefer, G,
it's no use, G,
it's no good, G,
have (no) difficulty, G,
can't help, G,
can't bear, G,
can't stand, G,
feel like, G,
look forward to, G,
it's (not) worth, G,
be busy, G,
be used to, G,
get used to, G,
afford, T,
agree, T,
arrange, T,
appear, T,
ask, T,
attempt, T,
care, T,
choose, T,
claim, T,
decide, T,
demand, T,
deserve, T,
expect, T,
fail, T,
hesitate, T,
hope, T,
intend, T,
manage, T,
neglect, T,
offer, T,
refuse, T,
plan, T,
prepare, T,
pretend, T,
promise, T,
refuse, T,
seem, T,
tend, T,
threaten, T,
vow, T,
swear, T,
want, T,
wish, T,
would like, T,
volunteer, T,
advise
allow
permit

